"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","5042.00368691841","","","","","4533.68610507421","","","","","3998.739739713","","","","","3579.75131699165","","","","","3659.9959262654","","","","","4063.06707361106","","","","","3254.96878060378","","","","","2435.79547914293","","","","","2086.21210693264","","","","","1739.81798736379","","","","","1513.09107787795","","1412.91214107761","","","","","",
"Angola","AGO","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","26388.3339315283","","","","","25631.0654054566","","","","","23685.4874537333","","","","","19644.9702571168","","","","","16530.8641285833","","","","","13845.6860864888","","","","","11692.7961157163","","","","","9951.87461713861","","","","","8447.7696946194","","","","","7079.52308697055","","","","","5894.55180516467","","5493.32692544171","","","","","",
"Albania","ALB","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","15718.869480208","","","","","13685.4026102998","","","","","11992.1930377518","","","","","10702.0122170034","","","","","9661.39157081297","","","","","8723.55570833489","","","","","8284.47086715004","","","","","8544.34531098082","","","","","8816.75248524259","","","","","9057.18721475332","","","","","9274.57961847344","","9310.84516168334","","","","","",
"Andorra","AND","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","20533.5068314899","","","","","15203.7768571153","","","","","11735.8322177599","","","","","9630.46596075799","","","","","8068.72219665593","","","","","6513.25972551852","","","","","5359.32617850836","","","","","4906.1824739223","","","","","4505.41763622607","","","","","3816.94160901746","","","","","3828.84249093137","","3984.19451352682","","","","","",
"Arab World","ARB","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","1217.60449064098","","","","","1060.52252035938","","","","","924.716864174924","","","","","799.024348288902","","","","","681.938727809382","","","","","588.635652427957","","","","","518.701808104727","","","","","457.716016001803","","","","","412.019974085842","","","","","367.807757051197","","","","","305.349023794015","","292.444459555468","","","","","",
"United Arab Emirates","ARE","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","1337.87616618206","","","","","883.543125739967","","","","","453.207804842676","","","","","203.986161578798","","","","","128.776809185392","","","","","97.8131586086013","","","","","73.0676884452219","","","","","56.1511318945167","","","","","43.1186017384845","","","","","24.3157625471766","","","","","16.4085133493101","","16.279265371018","","","","","",
"Argentina","ARG","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","13804.1545966984","","","","","12790.8220069947","","","","","11844.3161986235","","","","","10952.1638737774","","","","","10140.8086002947","","","","","9363.65168306027","","","","","8708.79420600342","","","","","8189.0368483942","","","","","7749.10952249058","","","","","7358.07452293155","","","","","6996.81556233634","","6843.29556240406","","","","","",
"Armenia","ARM","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1992.26389320141","","","","","2189.21326524717","","","","","2260.72832433195","","","","","2338.86581886901","","","","","2378.10520593198","","2355.09989517247","","","","","",
"American Samoa","ASM","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","931.215415196719","","","","","849.104358191408","","","","","810.815025026118","","","","","836.564294792387","","","","","841.709966169734","","","","","842.5555357519","","","","","806.564191652061","","","","","725.203614861096","","","","","664.154799157034","","","","","618.856068359793","","","","","575.163977037684","","561.785613966855","","","","","",
"Australia","AUS","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","45801.5267175573","","","","","41698.4490211035","","","","","37337.7855354026","","","","","34667.4182638106","","","","","32415.3379891949","","","","","30251.0467968937","","","","","28122.3206630466","","","","","26570.1787546579","","","","","25036.384176191","","","","","23622.5009122511","","","","","21642.1033925097","","20957.8540111671","","","","","",
